Segmento;Rama / Tipo;Nombre del producto;Lema;Descripción;Estado;Demo;Link App;GitHub
"PÚBLICO
(Educación y Salud)";"Dashboards &
Analítica de datos";Cuidar la Democracia;"Visualiza lo que
piensa el ciudadano";Dashboard interactivo con datos de encuesta sobre percepciones democráticas en Colombia (INVAMER/GovLab). Filtros sociodemográficos, mapas y gráficos en tiempo real.;En línea;Mostrar;https://cuidar-la-democracia-production.up.railway.app/;https://github.com/Juansotag/Cuidar-la-Democracia
"PÚBLICO
(Educación y Salud)";"Dashboards &
Analítica de datos";Data Promce (Fondecun);"Sigue cada institución,
mide cada etapa";Plataforma de seguimiento del programa FONDECUN en IEDs de Cundinamarca. Mapa de calor, Sankey, análisis cualitativo con IA y exportación a PDF/Excel.;En línea;Mostrar;https://fondecun-production.up.railway.app/;https://github.com/GovLabSabana/FONDECUN
"PÚBLICO
(Educación y Salud)";"Dashboards &
Analítica de datos";Barranquilla;"Predice la criminalidad,
protege la ciudad";App web para subir, analizar y predecir eventos de criminalidad y convivencia ciudadana. Diseñada para el Observatorio de Criminalidad de Barranquilla.;En línea;Mostrar;https://barranquilla-production.up.railway.app/;https://github.com/GovLabSabana/Barranquilla
"PÚBLICO
(Educación y Salud)";"Dashboards &
Analítica de datos";AppClínica (SCH3);"Anticipa la demanda,
optimiza los recursos";Sistema ML para identificar y predecir el número de pacientes NO-EPS y su facturación semanal en la Clínica Universidad de la Sabana.;NA;Mostrar;NA;https://github.com/GovLabSabana/AppClinica
"PÚBLICO
(Educación y Salud)";"Dashboards &
Analítica de datos";Geoanálisis Clínica;"Encuentra al paciente
antes de que llegue";Análisis predictivo geoespacial de la ubicación de potenciales clientes NO-EPS de la Clínica Universidad de la Sabana.;NA;Mostrar;NA;https://github.com/GovLabSabana/Geoanalisis_clinica
"PÚBLICO
(Educación y Salud)";"Automatización
con IA";CAR-PQRS;"De la PQRS al ciudadano
en segundos";Asistente en texto para la CAR Cundinamarca: recibe, categoriza, visualiza y responde PQRS automáticamente con IA.;En línea;Mostrar;https://car-pqrs-production.up.railway.app/;https://github.com/GovLabSabana/CAR-pqrs
"PÚBLICO
(Educación y Salud)";"Automatización
con IA";AlcaldIA;"El Plan de Desarrollo
en tus manos";Asistente RAG sobre el Plan de Desarrollo Distrital de Bogotá. Búsqueda semántica con FAISS + GPT-4o. Respuestas por objetivo, programa y presupuesto.;En línea;Mostrar;https://alcadia.up.railway.app/;https://github.com/GovLabSabana/AlcaldIA
"PÚBLICO
(Educación y Salud)";"Automatización
con IA";Asistente IA Cajicá;"Pregúntale al municipio,
él te responde";Asistente de voz en tiempo real sobre el Plan de Desarrollo de Cajicá 2024-2027. OpenAI Realtime API + LiveKit + WebRTC.;Caído;Mostrar;https://asistente-virtual-cajica.up.railway.app/;https://github.com/GovLabSabana/cajica
"PÚBLICO
(Educación y Salud)";"Automatización
con IA";PoliciApp-Eco;"La ley ambiental
en campo";Asistente IA de legislación ambiental colombiana para la Policía Ambiental y Carabineros. Cubre pesca, flora, fauna, minería y recursos hídricos.;Caído;Mostrar;https://policiaambiental-production.up.railway.app/;https://github.com/GovLabSabana/PoliciApp-Eco2
"PÚBLICO
(Educación y Salud)";"Automatización
con IA";LegisCheck;"Dos versiones,
un solo vistazo";Comparación inteligente de documentos legislativos. Diff semántico con GPT-4, línea de tiempo con hitos y reportes descargables en PDF.;Caído;Mostrar;NA;https://github.com/GovLabSabana/Paralelo
